,Date,Open,High,Low,Close,Volume,Adj Close,Years Since 2009,Daily Avg,Daily Range
188,2009-04-03,364.500614,371.720641,358.000622,369.780624,7607900,184.705606,0.252054794521,364.8606315,13.720019
189,2009-04-02,363.310621,369.760621,360.32063,362.500618,9009500,181.06924,0.249315068493,365.0406255,9.439991
190,2009-04-01,343.780596,355.240616,340.61058,354.090598,6627100,176.868431,0.246575342466,347.925598,14.630036
191,2009-03-31,348.930604,353.510611,346.180584,348.060593,7337900,173.85644,0.243835616438,349.8455975,7.330027
192,2009-03-30,342.550598,343.810585,336.050575,342.690586,6211300,171.174119,0.241095890411,339.93058,7.76001
193,2009-03-27,350.000611,352.000606,345.470595,347.700606,6670400,173.676626,0.232876712329,348.7356005,6.530011
194,2009-03-26,353.13059,359.160626,348.500592,353.290612,12051500,176.468837,0.230136986301,353.830609,10.660034
195,2009-03-25,350.400604,351.340609,336.250572,344.070589,8705000,171.863431,0.227397260274,343.7955905,15.090037
196,2009-03-24,346.500597,353.84061,344.000595,347.17058,7668500,173.411878,0.224657534246,348.9206025,9.840015
197,2009-03-23,333.56056,349.450613,333.030565,348.600605,8574900,174.126176,0.221917808219,341.240589,16.420048
198,2009-03-20,330.300578,332.990559,326.340563,330.160559,9511200,164.915364,0.213698630137,329.665561,6.649996
199,2009-03-19,331.680581,336.000584,327.38055,329.94056,8253100,164.805475,0.21095890411,331.690567,8.620034
200,2009-03-18,334.810561,340.000574,328.050564,333.100559,10061900,166.383896,0.208219178082,334.025569,11.95001
201,2009-03-17,320.180556,335.340587,319.090546,335.340587,9460300,167.50279,0.205479452055,327.2155665,16.250041
202,2009-03-16,325.990561,329.730577,318.59054,319.690535,9930500,159.685582,0.202739726027,324.1605585,11.140037
203,2009-03-13,326.100561,327.460561,319.030538,324.420548,7842000,162.048226,0.194520547945,323.2455495,8.430023
204,2009-03-12,317.540535,325.000565,313.650545,323.530565,10085800,161.603679,0.191780821918,319.325555,11.35002
205,2009-03-11,310.100539,320.000562,305.710511,317.910539,11891500,158.796473,0.18904109589,312.8555365,14.290051
206,2009-03-10,298.250512,310.500532,294.250491,308.170538,13510700,153.931338,0.186301369863,302.3755115,16.250041
207,2009-03-09,299.980517,306.570536,289.450485,290.890496,12991000,145.299948,0.183561643836,298.0105105,17.120051
208,2009-03-06,307.220517,310.190536,294.250491,308.570531,14522500,154.131134,0.175342465753,302.2205135,15.940045
